word,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
邮局,-0.013494177,-0.44037113,-0.28540313,0.14764327,0.3842973,0.3514779,0.3445174,0.0997643,-0.17841057,0.13707058,-0.24215579,-0.37179235,0.21617173,0.025297876,0.13517448,-0.30793276,0.31759402,-0.22301674,-0.07931001,0.4498074,0.20444633,-0.007051768,-0.22938879,-0.10335304,0.16007505,0.32644165,-0.12166785,0.37606245,0.33356905,0.18303654,0.20515889,0.3343506,-0.040513128,-0.29112902,-0.41602242,-0.1486204,-0.35004735,0.3615942,0.27289164,-0.12714292,0.010042081,-0.1455998,-0.07338948,0.08487874,0.21609053,0.16096504,-0.1648837,-0.33630314,0.2955255,0.10667235,-0.012660891,0.28497344,-0.24019605,-0.30599627,0.3141787,0.08411269,-0.032491844,0.11141487,-0.18886241,-0.36969382,-0.15389282,0.2628828,0.20723817,0.23584136,0.24425727,-0.19033727,-0.35683966,0.41539878,0.3094953,0.15591456
维修站点,-0.3204984,-0.053535976,-0.40154257,0.3881992,0.008582637,0.33474356,0.20170707,-0.41647172,0.32655653,-0.33947694,-0.17711754,-0.24547927,0.13626024,-0.24209769,-0.35494947,-0.38607872,0.24870515,-0.46213344,-0.2385383,0.45802036,-0.275712,-0.26128712,-0.029431812,-0.08287999,0.43598503,0.32246327,-0.120082304,0.18869497,0.29646844,0.36754048,0.3100614,0.62829137,0.34284317,-0.078396596,-0.31695163,-0.45932055,-0.34641618,0.15724908,0.45606413,-0.10550523,0.24383478,0.087870955,-0.05206607,0.27859497,0.36206412,0.09929266,0.20598954,-0.3850956,0.29225284,-0.36926043,-0.3322218,0.42990834,0.29467264,-0.28445345,0.35254955,-0.2736833,-0.0010306574,0.42469665,-0.10598818,-0.2626232,-0.3697803,0.23139635,0.32667685,-0.15733513,0.18915212,-0.24969245,-0.19694394,0.279213,0.24147615,-0.29344523
综合市场,-0.4851247,-0.17341007,-0.36712736,0.38337734,0.22065166,0.32113928,0.22488697,-0.41038746,0.20713806,-0.36489695,-0.252518,-0.27233985,0.3058489,-0.108929336,-0.37415692,-0.4472052,0.24390802,-0.47144115,-0.33834326,0.49137607,-0.3257227,-0.3476084,-0.30533245,-0.07034856,0.45894104,0.44796628,-0.30082804,0.2994486,0.45490524,0.31507844,0.42043415,0.42003244,0.38679963,-0.24683964,-0.27897894,-0.34587336,-0.52141976,0.33738494,0.49351436,-0.09167246,0.35350764,0.07099964,-0.34014213,0.48556826,0.37411284,0.15899323,0.079425916,-0.21671462,0.39384532,-0.31070092,-0.27519158,0.37109548,0.25740367,-0.2243625,0.28917384,-0.34509775,-0.10405917,0.3615365,-0.29634875,-0.4691605,-0.2858095,0.3647927,0.47257876,-0.17558306,0.24837765,-0.3334496,-0.3703664,0.37788063,0.29538482,-0.34390473
旅馆招待所,-0.38989648,-0.22885917,-0.14456916,0.33201492,0.1470633,0.17342964,0.20951495,-0.30937198,0.0045985803,-0.30313206,-0.19925074,-0.34413052,0.25233236,-0.343293,-0.09185453,-0.30147848,0.17721537,-0.3628704,-0.09635098,0.16629241,-0.1299956,0.05830356,-0.21369906,0.035544693,0.32633173,0.2857058,-0.37126464,0.16958363,0.19495791,0.1389034,0.20365134,0.29446247,0.23100567,-0.26953784,-0.37845606,-0.15343101,-0.21494272,0.26915947,0.45827997,0.12337367,0.31084916,0.10650982,-0.1713061,0.27186027,0.41123098,0.26913986,0.096238546,-0.3275692,0.2450692,-0.10056718,-0.2933851,0.4868431,0.39095047,-0.16386878,0.22264934,-0.23423743,-0.24752055,0.28856277,-0.12287685,-0.26563716,-0.28140554,0.17267823,0.35168615,-0.2518149,0.1281774,-0.23726827,-0.2014491,0.4628119,0.24854374,-0.16553192
生活服务场所,-0.13849956,-0.363055,-0.5443795,0.45061958,0.07843827,0.37004942,0.25631744,-0.21270087,0.39253086,-0.27231583,-0.50675166,-0.39123362,0.4200248,-0.31359667,-0.34594917,-0.48794603,0.494982,-0.48167822,-0.3526735,0.20932913,-0.3513958,-0.35868394,-0.32485694,-0.19950835,0.36733857,0.25735778,-0.2242631,0.55064213,0.49033594,0.42213064,0.47179967,0.29480273,0.50075656,-0.27952966,-0.34669554,-0.51357186,-0.3245108,0.4870727,0.47002065,-0.20250094,0.3418696,0.46474367,-0.3451047,0.5047406,0.38267112,0.34805053,0.15808332,-0.42259726,0.30368635,-0.22667651,-0.4625608,0.30550694,0.27486184,-0.311238,0.32881027,-0.40202397,-0.24916625,0.523878,-0.31014192,-0.39237416,-0.40809488,0.33060557,0.33857524,-0.5347624,0.40010822,-0.4027095,-0.45273584,0.38921165,0.38956118,-0.19727218
彩票彩券销售点,-0.5131943,-0.09955796,-0.22298884,0.3059757,0.37563565,0.12584625,0.21590011,-0.16443118,0.14026304,-0.34694713,-0.14653316,0.072449714,0.23413132,-0.037227653,-0.43921882,-0.34621292,-0.05662529,-0.3056336,-0.11953971,0.36843038,-0.16113819,-0.19877543,-0.31496173,-0.2071422,0.3362705,0.3305686,-0.10982618,0.29845053,0.2470168,0.19845271,0.4896949,0.3892007,0.28886932,-0.05582632,-0.34923446,-0.25292525,-0.2838868,0.18438019,0.3863489,-0.01586029,0.44143808,-0.11131558,-0.092019685,0.39125806,0.32206634,0.30189276,0.16897474,-0.35024157,0.39614528,-0.12530132,-0.23321426,0.42281187,0.12467627,-0.08093241,0.1627821,-0.25905722,-0.077306315,0.27617857,-0.32015863,-0.30033702,-0.3533856,0.13912207,0.085479915,-0.26294932,0.09184633,-0.18327972,-0.3808906,0.3005367,0.13207841,-0.37742877
超级市场,-0.37923753,-0.09492852,-0.31614533,0.2640192,0.09809092,0.2540266,0.23764077,-0.100989416,0.12430784,-0.44197744,-0.2992999,-0.22019023,0.25558978,-0.061929673,-0.21552211,-0.3545081,0.2341392,-0.39733332,-0.26303032,0.26502034,-0.24048418,-0.117118895,-0.30142647,-0.08213424,0.21225491,0.37197945,-0.18257257,0.18024155,0.33109403,0.2702635,0.33359134,0.1884735,0.19059145,-0.09364364,-0.3024143,-0.3509951,-0.17959422,0.16862322,0.3807306,-0.07908072,0.46486303,0.060620725,-0.1458621,0.29350525,0.33021224,0.1473932,0.10115677,-0.17165986,0.3675649,-0.25077486,-0.29559964,0.49560058,0.20516168,-0.07711487,0.38887548,-0.3595928,-0.19335984,0.2594542,-0.35338485,-0.43055654,-0.29586878,0.16920607,0.32944688,-0.2124536,0.021683268,-0.25313592,-0.38299447,0.28005117,0.22401765,-0.32118905
中餐厅,-0.28357357,-0.31038982,-0.4058504,0.50747,-0.062678784,0.25311786,0.368299,-0.11159978,0.20532775,-0.4107912,-0.4937597,-0.3945325,0.4594763,-0.28062528,-0.3593269,-0.50932914,0.29259932,-0.5443078,-0.31344485,0.38529524,-0.4484328,-0.4048168,-0.21861705,-0.13402045,0.50102305,0.47485328,-0.55034053,0.42440397,0.46527725,0.41108304,0.47968087,0.29497647,0.42412716,-0.11641008,-0.32067704,-0.4486106,-0.40908062,0.41007292,0.36144426,-0.39048287,0.5819984,0.23588745,-0.21454209,0.41265604,0.48692614,0.35073647,0.26796198,-0.4100638,0.380171,-0.24708664,-0.3938493,0.34273466,0.36987227,-0.45933074,0.43833786,-0.40320766,-0.34762752,0.25126278,-0.23605314,-0.3471762,-0.40160903,0.22301973,0.5096011,-0.4713906,0.24412811,-0.4570877,-0.3966635,0.4765671,0.39557153,-0.29244393
美容美发店,-0.5118176,-0.1944818,-0.42085123,0.35886002,-0.034505934,0.3760134,0.27530807,-0.22916612,0.31660208,-0.42086977,-0.4450557,-0.25696945,0.40420905,-0.20009539,-0.29292983,-0.564572,0.3646711,-0.42752385,-0.35902572,0.26822144,-0.38581842,-0.41776136,-0.15691711,-0.12286659,0.37333357,0.44829488,-0.25324973,0.4131345,0.38246918,0.47116834,0.36339727,0.12719148,0.26563084,-0.28128242,-0.40605262,-0.45750463,-0.39402145,0.38207233,0.4787643,-0.17724529,0.40288326,0.16162762,-0.23142056,0.3815412,0.54405606,0.35697433,0.31549662,-0.49718583,0.2388328,-0.3924858,-0.3241283,0.34968483,0.16933692,-0.40785396,0.3681991,-0.28089726,-0.19546044,0.3465949,-0.23038417,-0.3700343,-0.32234752,0.21318877,0.35553646,-0.39610964,0.22505108,-0.36879373,-0.4289525,0.30659887,0.43682814,-0.28107214
餐饮相关场所,-0.45922798,-0.2516627,-0.24177623,0.35868996,-0.14521497,0.27930743,0.40240943,0.14795673,0.18952593,-0.50672716,-0.414043,-0.3720686,0.4006915,-0.17739664,-0.33955827,-0.5236122,0.23341095,-0.45366666,-0.28122196,0.43374014,-0.4288748,-0.17452444,-0.29368746,-0.03366148,0.28417692,0.56411636,-0.2796312,0.5476477,0.4910003,0.41910934,0.45266038,0.2093559,0.31129098,-0.15078962,-0.39507568,-0.33676824,-0.38210118,0.3469642,0.31477088,-0.24615264,0.49295405,0.35761824,-0.2836713,0.33873254,0.47600812,0.398719,0.37024957,-0.32765138,0.34063303,-0.22305398,-0.45613554,0.4417823,0.1863027,-0.3842126,0.35678834,-0.20920512,-0.2498695,0.33547425,-0.30209658,-0.37630945,-0.3199617,0.29072103,0.45290077,-0.30793887,0.31738913,-0.30027658,-0.4070199,0.43408728,0.39593506,-0.30513293
